estimate,reserve_group,owner_group,forest_group,ref_unit,agerange
45990.9867311359,NR,FS,OS,North Coast,AGEID5
3867716.84570791,NR,PR,MC,Sacramento,AGEID8
57810.8723207693,NR,FS,DF,North Coast,AGEID6
234401.50298597,R,FS,HW,North Interior,AGEID19
2743755.24157691,NR,PR,MC,Sacramento,AGEID9
1241485.07194458,NR,PR,MC,North Interior,AGEID11
506091.729853837,NR,PR,MC,Sacramento,AGEID14
422847.138187762,NR,SLPub,MC,North Interior,AGEID9
1999097.73642036,NR,PR,HW,North Coast,AGEID2
167654.673576657,NR,PR,HW,North Interior,AGEID1
195760.707558878,NR,FS,OS,San Joaquin,AGEID2
1890211.8409254,NR,PR,HW,Sacramento,AGEID8
367244.641189599,R,FS,MC,North Interior,AGEID19
97541.8381710517,R,SLPub,MC,Southern,AGEID9
115656.485397648,NR,PR,MC,San Joaquin,AGEID5
309935.063341479,NR,PR,HW,Central Coast,AGEID10
255063.867402568,NR,OF,OS,North Interior,AGEID5
2121465.19842724,NR,PR,MC,North Interior,AGEID1
380466.422176887,NR,PR,MC,North Coast,AGEID2
2153910.86736499,NR,PR,HW,Sacramento,AGEID9
194716.131546609,NR,PR,HW,Central Coast,AGEID15
166256.911901108,NR,SLPub,MC,Sacramento,AGEID1
460524.807418314,NR,PR,HW,North Interior,AGEID11
79282.4648650981,NR,FS,MC,San Joaquin,AGEID2
1780413.49510861,NR,FS,PP,North Interior,AGEID3
63169.078142146,NR,PR,OS,North Interior,AGEID11
376373.240091144,NR,OF,HW,Sacramento,NOAGE
502315.253554394,NR,PR,OS,Sacramento,AGEID9
1288726.75740064,NR,PR,OS,Sacramento,AGEID8
369497.793398054,NR,FS,MC,North Coast,AGEID5
253912.854324974,NR,FS,PP,North Interior,AGEID12
1049367.58330516,NR,FS,HW,San Joaquin,AGEID2
349565.932487425,NR,PR,DF,North Coast,NOAGE
345030.505474244,NR,PR,OS,North Interior,AGEID1
202757.306789614,NR,OF,MC,North Interior,AGEID5
180189.436061748,NR,SLPub,DF,North Coast,AGEID5
289853.68863831,NR,FS,HW,North Coast,AGEID5
654315.82678455,NR,FS,PP,San Joaquin,AGEID999
288100.163383558,R,FS,OS,North Interior,AGEID19
101364.066550233,R,FS,PP,San Joaquin,AGEID4
73135.5205524363,R,OF,MC,San Joaquin,AGEID3
193910.736530355,R,FS,MC,North Coast,AGEID999
386684.911781281,R,OF,MC,San Joaquin,AGEID12
173949.355365888,R,FS,PP,North Interior,AGEID11
253513.030405695,R,FS,PP,Central Coast,AGEID15
61050.2250743528,NR,OF,HW,North Interior,AGEID4
405456.26620093,R,FS,PP,San Joaquin,AGEID5
363293.784524306,R,FS,HW,North Coast,AGEID999
986818.46859947,NR,FS,HW,North Coast,AGEID4
480908.25232546,R,OF,MC,North Interior,AGEID999
251691.833215744,R,SLPub,DF,North Coast,AGEID999
274901.421906479,NR,FS,PP,Sacramento,AGEID7
845754.374754826,NR,PR,HW,Central Coast,NOAGE
56710.8247126495,NR,SLPub,DF,Central Coast,AGEID6
255063.867402568,NR,OF,HW,Sacramento,AGEID10
204435.58343422,NR,FS,OS,North Coast,AGEID4
202757.306789614,NR,PR,HW,San Joaquin,AGEID4
75978.326109521,R,SLPub,MC,Sacramento,AGEID12
141882.352582529,NR,OF,MC,Sacramento,AGEID15
233510.72415456,NR,PR,DF,North Coast,AGEID15
4268.64975477909,NR,PR,MC,San Joaquin,AGEID4
265543.141361416,NR,PR,RW,North Coast,AGEID999
521946.853134517,NR,FS,PP,Sacramento,AGEID13
610773.146741092,NR,PR,DF,North Coast,AGEID10
1026405.1088352,NR,FS,OS,Sacramento,AGEID16
212426.154875552,R,FS,HW,Sacramento,AGEID999
15967.5989086012,R,SLPub,RW,Central Coast,AGEID9
820919.401587578,NR,FS,HW,Sacramento,AGEID4
199850.614496233,R,SLPub,RW,Central Coast,AGEID8
568896.051100014,R,FS,MC,Sacramento,AGEID999
205887.730086028,R,SLPub,RW,Central Coast,AGEID17
224104.776414482,NR,OF,PP,North Interior,AGEID7
917909.274941709,NR,FS,MC,Sacramento,AGEID4
551287.028763716,NR,FS,OS,North Interior,AGEID15
189378.00360293,R,FS,HW,North Coast,AGEID18
2282438.99272623,NR,FS,OS,North Interior,AGEID10
1383032.06447408,NR,FS,HW,North Interior,AGEID10
253045.864926919,NR,PR,DF,Sacramento,AGEID15
3023427.62282605,NR,FS,MC,Sacramento,AGEID16
541565.406104369,NR,FS,HW,North Interior,AGEID15
6932672.507945,NR,FS,MC,North Interior,AGEID10
528030.758555297,NR,PR,PP,San Joaquin,AGEID7
